report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_100_NoHero,,defender,defender,True,,,,317,,,0,0,0,149,151,2,False
NanoMart_100_SeoYoonlvl1,,defender,defender,True,,,,318,,,0,0,0,147,150,3,False
NanoMart_100_SeoYoonlvl2,,defender,defender,True,,,,318,,,0,0,0,144,149,5,False
NanoMart_100_SeoYoonlvl3,,defender,defender,True,,,,319,,,0,0,0,141,148,7,False
NanoMart_100_SeoYoonlvl3_Vulcanus,,defender,defender,True,,210,210,301,91,False,0,0,0,148,152,4,False
NanoMart_100_Vulcanus,,defender,defender,True,,205,207,300,93,False,0,0,0,156,154,-2,False
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,264,264,202,-62,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,80,79,81,32,-47,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,12,3,False,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,25,-42,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,30,30,30,13,-17,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,80,79,81,5,-74,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,attacker,True,68,67,69,29,-38,False,1,1,0,0,0,0,True
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,7,-12,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,12,12,12,3,-9,False,0,0,0,1,1,0,True
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,85,-90,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,266,265,267,99,-166,False,1,0,-1,0,1,1,False
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,126,126,126,53,-73,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,266,265,267,71,-194,False,1,0,-1,0,1,1,False
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,39,-57,False,1,1,0,0,0,0,True
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,31,-48,False,1,1,0,0,0,0,True
