report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_100_NoHero,,defender,defender,True,,,,111,,,0,0,0,149,168,19,False
NanoMart_100_SeoYoonlvl1,,defender,defender,True,,,,112,,,0,0,0,147,166,19,False
NanoMart_100_SeoYoonlvl2,,defender,defender,True,,,,112,,,0,0,0,144,164,20,False
NanoMart_100_SeoYoonlvl3,,defender,defender,True,,,,113,,,0,0,0,141,163,22,False
NanoMart_100_SeoYoonlvl3_Vulcanus,,defender,defender,True,,210,210,103,-107,False,0,0,0,148,167,19,False
NanoMart_100_Vulcanus,,defender,defender,True,,205,207,102,-103,False,0,0,0,156,171,15,False
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,279,15,False,1,1,0,0,0,0,True
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,80,79,81,53,-26,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,9,0,True,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,36,-31,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,30,30,30,15,-15,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,80,79,81,3,-76,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,defender,False,68,67,69,33,-34,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,6,-13,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,12,12,12,2,-10,False,0,0,0,1,1,0,True
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,125,-50,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,156,-109,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,126,126,126,79,-47,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,118,-147,False,1,1,0,0,0,0,True
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,56,-40,False,1,1,0,0,0,0,True
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,44,-35,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,35,-61,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,82,-182,False,1,1,0,0,0,0,True
NanoMart_1v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,192,192,192,156,-36,False,0,0,0,2,2,0,True
NanoMart_1v2_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,62,61,63,30,-31,False,0,0,0,2,2,0,True
NanoMart_1v2_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,56,55,57,40,-15,False,0,0,0,2,2,0,True
NanoMart_1v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,20,19,21,9,-10,False,0,0,0,2,2,0,True
NanoMart_1v2_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,8,7,9,2,-5,False,0,0,0,2,2,0,True
NanoMart_200_NoHero,,attacker,unresolved,False,,,,500,,,4,11,7,0,7,7,False
NanoMart_200_SeoYoonlvl3,,attacker,attacker,True,,,,307,,,52,62,10,0,0,0,False
NanoMart_200_Vulcanus,,defender,defender,True,,379,381,324,-55,False,0,0,0,46,59,13,False
NanoMart_250_NoHero,,attacker,attacker,True,,,,224,,,109,139,30,0,0,0,False
NanoMart_250_SeoYoonlvl3,,attacker,attacker,True,,,,190,,,131,155,24,0,0,0,False
NanoMart_250_Vulcanus,,attacker,attacker,True,,355,357,248,-107,False,84,120,36,0,0,0,False
NanoMart_2v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,186,186,186,156,-30,False,2,2,0,0,0,0,True
NanoMart_2v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,56,55,57,39,-16,False,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,62,61,63,30,-31,False,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,20,19,21,9,-10,False,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,6,6,6,6,0,True,0,0,0,1,1,0,True
NanoMart_2v1_T1MMvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,3,-4,False,0,0,0,1,1,0,True
NanoMart_300_NoHero,,attacker,attacker,True,,,,172,,,178,212,34,0,0,0,False
NanoMart_300_SeoYoonlvl3,,attacker,attacker,True,,,,149,,,196,223,27,0,0,0,False
NanoMart_300_Vulcanus,,attacker,attacker,True,,295,297,183,-112,False,159,199,40,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,246,244,246,273,27,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,257,14,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,265,0,True,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,262,264,281,17,False,1,0,-1,0,1,1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,257,14,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,281,11,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,280,16,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,257,14,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,257,14,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,257,14,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,281,11,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1LanvT1Inf_Att+20_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,72,70,72,50,-20,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,,defender,defender,True,264,262,264,279,15,False,0,0,0,1,1,0,True
NanoMart_SetA_1v1_T3InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,188,187,189,98,-89,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T4InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,144,142,144,70,-72,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,68,67,69,44,-23,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,120,118,120,54,-64,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,102,100,102,44,-56,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus_Duplicate2,NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,attacker,attacker,True,102,100,102,44,-56,False,1,1,0,0,0,0,True
NanoMart_SetB_1v1_T1InfvT1Inf_NoAttackerHero_Vulcanus,,defender,defender,True,270,268,270,281,11,False,0,0,0,1,1,0,True
NanoMart_SetB_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,defender,defender,True,264,262,264,279,15,False,0,0,0,1,1,0,True
NanoMart_SetB_1v1_T1LanvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,30,28,30,15,-13,False,0,0,0,1,1,0,True
NanoMart_SetC_1v3_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,156,154,156,111,-43,False,0,0,0,3,3,0,True
