report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_100_NoHero,,defender,mutual_wipe,False,,,,2,,,0,0,0,149,0,-149,False
NanoMart_100_SeoYoonlvl1,,defender,mutual_wipe,False,,,,2,,,0,0,0,147,0,-147,False
NanoMart_100_SeoYoonlvl2,,defender,mutual_wipe,False,,,,2,,,0,0,0,144,0,-144,False
NanoMart_100_SeoYoonlvl3,,defender,mutual_wipe,False,,,,2,,,0,0,0,141,0,-141,False
NanoMart_100_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,,210,210,2,-208,False,0,0,0,148,0,-148,False
NanoMart_100_Vulcanus,,defender,mutual_wipe,False,,205,207,2,-203,False,0,0,0,156,0,-156,False
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,264,264,264,1,-263,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,80,79,81,1,-78,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,8,7,9,1,-6,False,0,0,0,1,0,-1,False
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,68,67,69,1,-66,False,0,0,0,1,0,-1,False
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,30,30,30,1,-29,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,80,79,81,1,-78,False,0,0,0,1,0,-1,False
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,mutual_wipe,False,68,67,69,1,-66,False,1,0,-1,0,0,0,False
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,mutual_wipe,False,20,19,21,1,-18,False,0,0,0,1,0,-1,False
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,mutual_wipe,False,12,12,12,1,-11,False,0,0,0,1,0,-1,False
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,176,175,177,1,-174,False,1,0,-1,0,0,0,False
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,266,265,267,1,-264,False,1,0,-1,0,0,0,False
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,126,126,126,1,-125,False,1,0,-1,0,0,0,False
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,266,265,267,1,-264,False,1,0,-1,0,0,0,False
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,96,96,96,1,-95,False,1,0,-1,0,0,0,False
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,80,79,81,1,-78,False,1,0,-1,0,0,0,False
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,96,96,96,1,-95,False,1,0,-1,0,0,0,False
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,264,264,264,1,-263,False,1,0,-1,0,0,0,False
NanoMart_1v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,192,192,192,1,-191,False,0,0,0,2,1,-1,False
NanoMart_1v2_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,62,61,63,1,-60,False,0,0,0,2,1,-1,False
NanoMart_1v2_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,56,55,57,1,-54,False,0,0,0,2,1,-1,False
NanoMart_1v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,20,19,21,1,-18,False,0,0,0,2,1,-1,False
NanoMart_1v2_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,8,7,9,1,-6,False,0,0,0,2,1,-1,False
NanoMart_200_NoHero,,attacker,mutual_wipe,False,,,,2,,,4,0,-4,0,0,0,False
NanoMart_200_SeoYoonlvl3,,attacker,mutual_wipe,False,,,,2,,,52,0,-52,0,0,0,False
NanoMart_200_Vulcanus,,defender,mutual_wipe,False,,379,381,2,-377,False,0,0,0,46,0,-46,False
NanoMart_250_NoHero,,attacker,mutual_wipe,False,,,,2,,,109,0,-109,0,0,0,False
NanoMart_250_SeoYoonlvl3,,attacker,mutual_wipe,False,,,,2,,,131,0,-131,0,0,0,False
NanoMart_250_Vulcanus,,attacker,mutual_wipe,False,,355,357,2,-353,False,84,0,-84,0,0,0,False
NanoMart_2v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,186,186,186,1,-185,False,2,1,-1,0,0,0,False
NanoMart_2v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,56,55,57,1,-54,False,2,1,-1,0,0,0,False
NanoMart_2v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,62,61,63,1,-60,False,2,1,-1,0,0,0,False
NanoMart_2v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,20,19,21,1,-18,False,2,1,-1,0,0,0,False
NanoMart_2v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,attacker,False,6,6,6,1,-5,False,0,1,1,1,0,-1,False
NanoMart_2v1_T1MMvT1MM_SeoYoonlvl3_Vulcanus,,defender,attacker,False,8,7,9,1,-6,False,0,1,1,1,0,-1,False
NanoMart_300_NoHero,,attacker,mutual_wipe,False,,,,2,,,178,0,-178,0,0,0,False
NanoMart_300_SeoYoonlvl3,,attacker,mutual_wipe,False,,,,2,,,196,0,-196,0,0,0,False
NanoMart_300_Vulcanus,,attacker,mutual_wipe,False,,295,297,2,-293,False,159,0,-159,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+10D+10H_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,246,244,246,1,-243,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,242,241,243,1,-240,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,266,265,267,1,-264,False,1,0,-1,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,264,262,264,1,-261,False,1,0,-1,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,242,241,243,1,-240,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,270,268,270,1,-267,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,264,262,264,1,-261,False,1,0,-1,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+10D_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,242,241,243,1,-240,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,242,241,243,1,-240,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,242,241,243,1,-240,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10D_SeoYoonlvl3_Vulcanus,,defender,mutual_wipe,False,270,268,270,1,-267,False,0,0,0,1,0,-1,False
NanoMart_Exp4_1v1_T1LanvT1Inf_Att+20_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,72,70,72,1,-69,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,,defender,mutual_wipe,False,264,262,264,1,-261,False,0,0,0,1,0,-1,False
NanoMart_SetA_1v1_T3InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,188,187,189,1,-186,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T4InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,144,142,144,1,-141,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,68,67,69,1,-66,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T5InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,120,118,120,1,-117,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,102,100,102,1,-99,False,1,0,-1,0,0,0,False
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus_Duplicate2,NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,attacker,mutual_wipe,False,102,100,102,1,-99,False,1,0,-1,0,0,0,False
NanoMart_SetB_1v1_T1InfvT1Inf_NoAttackerHero_Vulcanus,,defender,mutual_wipe,False,270,268,270,1,-267,False,0,0,0,1,0,-1,False
NanoMart_SetB_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,defender,mutual_wipe,False,264,262,264,1,-261,False,0,0,0,1,0,-1,False
NanoMart_SetB_1v1_T1LanvT1Lan_NoAttackerHero_Vulcanus,,defender,mutual_wipe,False,30,28,30,1,-27,False,0,0,0,1,0,-1,False
NanoMart_SetC_1v3_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,156,154,156,1,-153,False,0,0,0,3,2,-1,False
NanoMart_SetC_1v5_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,120,118,120,1,-117,False,0,0,0,5,4,-1,False
NanoMart_SetC_2v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,318,316,318,2,-314,False,1,0,-1,0,0,0,False
NanoMart_SetC_2v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,mutual_wipe,False,36,34,36,2,-32,False,1,0,-1,0,0,0,False
NanoMart_SetC_3v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,152,151,153,1,-150,False,3,2,-1,0,0,0,False
