report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_100_NoHero,,defender,defender,True,,,,675,,,0,0,0,149,149,0,True
NanoMart_100_SeoYoonlvl1,,defender,defender,True,,,,680,,,0,0,0,147,145,-2,False
NanoMart_100_SeoYoonlvl2,,defender,defender,True,,,,681,,,0,0,0,144,144,0,True
NanoMart_100_SeoYoonlvl3,,defender,defender,True,,,,681,,,0,0,0,141,144,3,False
NanoMart_100_SeoYoonlvl3_Vulcanus,,defender,defender,True,,210,210,593,383,False,0,0,0,148,151,3,False
NanoMart_100_Vulcanus,,defender,defender,True,,205,207,585,378,False,0,0,0,156,159,3,False
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,264,264,465,201,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,80,79,81,78,-1,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,71,62,False,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,78,9,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,30,30,30,78,48,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,attacker,False,80,79,81,73,-6,False,0,1,1,1,0,-1,False
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,attacker,True,68,67,69,73,4,False,1,1,0,0,0,0,True
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,71,50,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,mutual_wipe,False,12,12,12,78,66,False,0,0,0,1,0,-1,False
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,182,5,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,266,265,267,271,4,False,1,0,-1,0,1,1,False
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,126,126,126,80,-46,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,266,265,267,154,-111,False,1,0,-1,0,1,1,False
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,80,-16,False,1,1,0,0,0,0,True
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,80,0,True,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,80,-16,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,264,264,78,-186,False,1,0,-1,0,1,1,False
