report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,264,264,260,-4,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,96,15,False,1,1,0,0,0,0,True
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,16,7,False,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,70,1,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,30,30,30,35,5,False,1,1,0,0,0,0,True
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,80,79,81,7,-72,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,defender,False,68,67,69,55,-12,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,18,-1,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,12,12,12,4,-8,False,0,0,0,1,1,0,True
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,213,36,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,250,-15,False,1,1,0,0,0,0,True
