report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,359,95,False,1,1,0,0,0,0,True
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,80,79,81,74,-5,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,17,8,False,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,52,-15,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,30,30,30,25,-5,False,1,1,0,0,0,0,True
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,80,79,81,7,-72,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,defender,False,68,67,69,62,-5,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,12,-7,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,12,12,12,5,-7,False,0,0,0,1,1,0,True
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,169,-6,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,201,-64,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,126,126,126,109,-17,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,150,-115,False,1,1,0,0,0,0,True
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,80,-16,False,1,1,0,0,0,0,True
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,63,-16,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,52,-44,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,100,-164,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,246,244,246,350,104,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,337,94,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,333,66,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,358,94,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,337,94,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,363,93,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,352,88,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,337,94,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,337,94,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,337,94,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,363,93,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1LanvT1Inf_Att+20_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,72,70,72,68,-2,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,,defender,defender,True,264,262,264,359,95,False,0,0,0,1,1,0,True
NanoMart_SetA_1v1_T3InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,188,187,189,129,-58,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T4InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,144,142,144,95,-47,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,68,67,69,63,-4,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,120,118,120,74,-44,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,102,100,102,61,-39,False,1,1,0,0,0,0,True
NanoMart_SetB_1v1_T1InfvT1Inf_NoAttackerHero_Vulcanus,,defender,defender,True,270,268,270,363,93,False,0,0,0,1,1,0,True
NanoMart_SetB_1v1_T1LanvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,30,28,30,26,-2,False,0,0,0,1,1,0,True
