record_type,section,id,folder,observed_winner,seam_winner,classification,clock_gap_pct,att_dead_clock,def_dead_clock,expected,pass,finding_class,flags,gatot_abstain,law_version,input_mutated,arithmetic,details
W1,W1,AlpacaMueller_21v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194705,AlpacaGatot_FC1_T6_LanMM,defender,defender,CORRECT,43.23784143904064,2150.0,1501.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""budget_mueller_aurad"", ""gatot_budget"", ""gatot_capped"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""WINNER_ONLY_MULTICOUNT""}",
W1,W1,AlpacaMueller_22v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194558,AlpacaGatot_FC1_T6_LanMM,attacker,attacker,CORRECT,1433.3333333333335,2254.0,147.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""budget_mueller_aurad"", ""gatot_budget"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""WINNER_ONLY_MULTICOUNT""}",
W1,W1,AlpacaMueller_40v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_unknown,AlpacaGatot_FC1_T6_LanMM,defender,defender,CORRECT,761.4923384410394,12931.0,1501.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""G_l(Lan T6) fallback_infantry"", ""K(Lan->Inf) edge_implied (shield-model-conditional)"", ""budget_mueller_aurad"", ""gatot_budget"", ""gatot_capped"", ""gatot_k_laninf_T6_edge"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""WINNER_ONLY_MULTICOUNT""}",
W1,W1,AlpacaMueller_41v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_200204,AlpacaGatot_FC1_T6_LanMM,attacker,attacker,CORRECT,11230.76923076923,13257.0,117.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""G_l(Lan T6) fallback_infantry"", ""K(Lan->Inf) edge_implied (shield-model-conditional)"", ""budget_mueller_aurad"", ""gatot_budget"", ""gatot_k_laninf_T6_edge"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""WINNER_ONLY_MULTICOUNT""}",
W1,W1,ENIF1b_R01_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004328,ENIF,attacker,attacker,CORRECT,13.432835820895523,76.0,67.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""att_offense_mult"": 1.0, ""def_offense_mult"": 1.0, ""seam_t_att_dead"": 76, ""seam_t_def_dead"": 67, ""status"": ""MATCH"", ""v2_t_att_dead"": 76, ""v2_t_def_dead"": 67}",
W1,W1,ENIF1b_R02_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004437,ENIF,defender,defender,CORRECT,13.432835820895523,67.0,76.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""att_offense_mult"": 1.0, ""def_offense_mult"": 1.0, ""seam_t_att_dead"": 67, ""seam_t_def_dead"": 76, ""status"": ""MATCH"", ""v2_t_att_dead"": 67, ""v2_t_def_dead"": 76}",
W1,W1,ENIF1b_R03_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004607,ENIF,defender,defender,CORRECT,44.44444444444444,54.0,78.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""WINNER_ONLY_MULTICOUNT""}",
W1,W1,ENIF1b_R04_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004622,ENIF,attacker,attacker,CORRECT,13.432835820895523,76.0,67.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""att_offense_mult"": 1.0, ""def_offense_mult"": 1.0, ""seam_t_att_dead"": 76, ""seam_t_def_dead"": 67, ""status"": ""MATCH"", ""v2_t_att_dead"": 76, ""v2_t_def_dead"": 67}",
W1,W1,ENIF2_R05_AlpacaFC1T1MM_v_MuellerT1InfGatot_20260717_004906,ENIF,defender,defender,CORRECT,3956.7567567567567,37.0,1501.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""budget_mueller_aurad"", ""gatot_budget"", ""gatot_capped"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""GATOT_SPECIAL_REGIME""}",
W1,W1,ENIF2_R06_AlpacaFC1T3MM_v_MuellerT1InfGatot_20260717_004958,ENIF,defender,defender,CORRECT,1730.4878048780488,82.0,1501.0,151 CORRECT / 15 COIN_FLIP / 1 ABSTAIN / 3 WRONG,True,,"[""budget_mueller_aurad"", ""gatot_budget"", ""gatot_capped"", ""gatot_kit_target"", ""gatot_state_detected_aurad_mueller"", ""non-Inf dealer: G_w hypothesis + proc-gating risk""]",null,stage6.6,False,"{""status"": ""GATOT_SPECIAL_REGIME""}",
